Place (as appears on Bio);Keyword Repetitions;Latitude;Longitude
London, England;11355;51.50518452;-0.15012839
Dublin City, Ireland;3597;53.33699524;-6.27968561
Manchester, England;3365;53.4807593;-2.2426305
South East, England;3137;51.61722222;-0.6011111099999999
Camberwell, London;2921;51.50744699;-0.09432793
Camden Town, London;2918;51.51523763;-0.12715407
East, England;2858;51.86805556;0.73111111
Scotland, United Kingdom;2463;59.2425;-2.58777778
North West, England;2073;53.8133846;-2.5348065
Liverpool, England;2045;53.40517578;-2.97922927
Birmingham, England;2043;52.4489382;-1.9333357
South West, England;2039;51.442098;-2.102834
Glasgow, Scotland;2003;55.85770404;-4.24328615
Lambeth, London;1935;51.4309209;-0.0936496
Hackney, London;1916;51.52622407;-0.08795193
Middleton, England;1877;54.0633;-2.88424
Kensington, London;1836;51.5090411;-0.1901788
East Midlands, England;1831;53.08306926;0.14451541
Leeds, England;1779;53.795826;-1.5420951
Poplar, London;1719;51.52108499;-0.07238491
Paddington, London;1640;51.52793559;-0.19983703
West Midlands, England;1577;52.3555177;-1.1743197
Bristol, England;1566;51.45;-2.58333
Edinburgh, Scotland;1510;55.97502291;-3.16669106
Wales, United Kingdom;1492;53.16666667;-3.05
Islington, London;1407;51.54267265;-0.11339668
Brighton, England;1382;50.82312245;-0.13742298
Sheffield, England;1371;53.38107575;-1.46976471
Hammersmith, London;1286;51.50536413;-0.22326218
Yorkshire and The Humber, England;1246;53.48765665;-1.35704116
City of London, London;1239;51.51365977;-0.08815014
Derby, England;1124;52.91767339;-1.46509096
Cardiff, Wales;1118;51.48647678;-3.18319784
Hillingdon, London;1080;51.46971536;-0.45988083
Wandsworth, London;1018;51.43825517;-0.16509841
Saint Albans, East;1015;51.7612142;-0.3281723
Belfast, Northern Ireland;1010;54.59620386;-5.92512304
Huddersfield, England;985;53.64833333;-1.82166667
Greenwich, London;945;51.47914647;-0.00244973
Newcastle Upon Tyne, England;899;54.9881;-1.61944
Woking, South East;867;51.33222222;-0.55777778
Cork, Ireland;815;51.885205;-8.53440833
Galway, Ireland;788;53.59638889;-9.974166670000001
York, England;788;53.9583;-1.0803
Leicester, England;774;52.6545818;-1.137065
Nottingham, England;770;52.9718502;-1.1728985
Hepworth, England;756;52.33555556;0.91444444
Southampton, England;733;50.9061;-1.45638
Oxford, England;718;51.74830071;-1.27232205
Bournemouth, England;703;50.74496094;-1.82520318
Cambridge, England;693;52.23535619;0.1339817
Broadstairs, England;676;51.37083333;1.42333333
North East, England;672;55.03313129;-1.4712042
Southend-on-Sea, East;648;51.54439656;0.69072733
Salford, England;632;53.47378058;-2.29729886
Norwich, England;622;52.62151671;1.24164499
Tottenham, London;618;51.60273863;-0.06731371999999999
Hounslow, London;592;51.48710197;-0.25101185
Brent, London;576;51.54127771;-0.22907282
Crewe, England;556;53.07409405;-2.48998953
Coventry, England;550;52.417;-1.442
Solihull, England;539;52.4134799;-1.77619539
Fingal, Ireland;521;53.42662962;-6.24182224
Richmond, London;517;51.45144109;-0.32589525
Hurstpierpoint, England;505;50.93638889;-0.17972222
Portsmouth, England;502;50.79356642;-1.09813444
Dun Laoghaire-Rathdown, Ireland;483;53.2869824;-6.1151621
Lewisham, London;477;51.44948336;-0.04431251
Reading, England;475;51.4542645;-0.9781303
Bath, England;472;51.38;-2.36
Bures, England;455;51.97222222;0.78055556
Stoke-on-Trent, England;451;53.02149909;-2.16573068
Waterford, Ireland;444;52.2593197;-7.1100703
Mayo, Ireland;442;53.79;-8.71555556
Swansea, Wales;438;51.62185199;-3.9384457
Bromley, London;434;51.37944444;0.09944444
Barnet, London;417;51.6275813;-0.1855485
Urmston, England;400;53.46318342;-2.29128436
Kilkenny, Ireland;399;52.73333333;-7.18333333
Stratford, London;387;51.531752;0.03881361
Plymouth, England;379;50.38955301;-4.12883945
Ryde, England;378;50.72000277;-1.16877611
Walthamstow, London;377;51.5854879;-0.0018954
Hull, England;374;53.7329362;-0.3629608
Aberdeen, Scotland;374;57.15212967;-2.09026857
Chelmsford, East;372;51.7355868;0.4685497
Clacton-on-Sea, England;368;51.81361111;1.16888889
South Dublin, Ireland;364;53.3453021;-6.4357882
Merton, London;362;51.43742395;-0.20392814
Hereford, England;353;52.06135345;-2.70685047
Folkestone, England;353;51.08833333;1.135
Northern Ireland, United Kingdom;351;54.64718582;-5.82657073
Worcester, England;341;52.19406062;-2.22399702
Limerick, Ireland;339;52.67403508;-8.642480340000001
Whitley Bay, England;339;55.0425;-1.48888889
Milton Keynes, England;331;52.0416327;-0.7073
Staines-upon-Thames, South East;327;51.4191935;-0.4191503
Wicklow, Ireland;321;53.201429;-6.100073
Deal, England;318;51.21777778;1.40388889
Dundee, Scotland;316;56.4647073;-3.03984404